timestamp,eurusd_price,cash,asset_holdings,equity
2026-08-24T09:27:02.831117+00:00,29133.7,10000.0,0.0,10000.0
2026-08-24T10:19:52.197461+00:00,29132.0,10000.0,0.0,10000.0
2026-08-24T11:04:32.245765+00:00,29077.0,10000.0,0.0,10000.0
2026-08-24T11:38:39.867480+00:00,29202.5,10000.0,0.0,10000.0
2026-08-24T13:07:02.228665+00:00,29128.3,10000.0,0.0,10000.0
2026-08-24T13:59:30.351892+00:00,28945.7,10000.0,0.0,10000.0
2026-08-24T14:53:09.854728+00:00,29013.2,10000.0,0.0,10000.0
2026-08-24T15:50:14.690098+00:00,29107.8,10000.0,0.0,10000.0
2026-08-24T16:49:30.109585+00:00,29106.4,10000.0,0.0,10000.0
2026-08-24T17:39:02.169886+00:00,29044.6,10000.0,0.0,10000.0
2026-08-24T18:53:10.545194+00:00,29094.1,10000.0,0.0,10000.0
2026-08-24T19:37:43.737544+00:00,29056.3,10000.0,0.0,10000.0
